date,news_desk,avg_score
2015-05-28,Business,-0.0011608695652173939
2015-05-29,Business,-0.06128076923076922
2015-05-30,Business,-0.123475
2015-05-31,Business,-0.3538666666666666
2015-06-01,Business,0.11600769230769231
2015-06-02,Business,-0.04638888888888889
2015-06-03,Business,0.028579487179487162
2015-06-04,Business,-0.10357333333333335
2015-06-05,Business,0.09124615384615384
2015-06-06,Business,0.15639999999999998
2015-06-07,Business,-0.028512499999999996
2015-06-08,Business,-0.013523076923076922
2015-06-09,Business,-0.0073079999999999985
2015-06-10,Business,0.019216666666666667
2015-06-11,Business,-0.05194857142857142
2015-06-12,Business,-0.014290909090909082
2015-06-13,Business,-0.3719
2015-06-14,Business,0.033399999999999985
2015-06-15,Business,0.09721290322580645
2015-06-16,Business,-0.016244827586206895
